Full Name,Last Name,First Name,Sholar link,Citations,h-index,i10-index,t10-index,University,"Rank (Full, Associate, Assistant, Other)",UniversityID,
"Ahmad, Ishfaq",Ahmad,Ishfaq,https://scholar.google.com/citations?user=Y26XykAAAAAJ&hl=en,8700,43,115,164,University of Texas - Arlington  ,Full,152,
Chakravarthy. Sharma,Chakravarthy.,Sharma,https://scholar.google.com/citations?user=N4oy61IAAAAJ&hl=en,5634,31,100,94,University of Texas - Arlington  ,Full,152,
"Das, Gautam",Das,Gautam,https://scholar.google.com/citations?user=oleB9xIAAAAJ&hl=en,9022,45,112,189,University of Texas - Arlington  ,Full,152,
"Ding, Chris",Ding,Chris,https://scholar.google.com/citations?user=q7FfnjgAAAAJ&hl=en,22984,64,262,454,University of Texas - Arlington  ,Full,152,
"Elmasri, Ramez",Elmasri,Ramez,NA,NaN,NaN,NaN,150,University of Texas - Arlington  ,Full,152,
"Gao, Jean",Gao,Jean,NA,NaN,NaN,NaN,NaN,University of Texas - Arlington  ,Full,152,
"Huang, Heng",Huang,Heng,https://scholar.google.com/citations?user=JfGT-1kAAAAJ&hl=en,8036,28,159,52,University of Texas - Arlington  ,Full,152,
"Huber, Manfred",Huber,Manfred,NA,NaN,NaN,NaN,36,University of Texas - Arlington  ,Full,152,
"Jiang, Hong",Jiang,Hong,NA,NaN,NaN,NaN,NaN,University of Texas - Arlington  ,Full,152,
"Kamangar, Farhad",Kamangar,Farhad,NA,NaN,NaN,NaN,32,University of Texas - Arlington  ,Full,152,
"Kung, David",Kung,David,NA,NaN,NaN,NaN,75,University of Texas - Arlington  ,Full,152,
"Lei, Jeff",Lei,Jeff,https://scholar.google.com/citations?user=UEHiYcoAAAAJ&hl=en&oi=sra,2838,25,47,74,University of Texas - Arlington  ,Full,152,
"Makedon, Fillia",Makedon,Fillia,NA,NaN,NaN,NaN,70,University of Texas - Arlington  ,Full,152,
"Peterson, Lynn",Peterson,Lynn,NA,NaN,NaN,NaN,NaN,University of Texas - Arlington  ,Full,152,
"Zaruba, Gergely",Zaruba,Gergely,https://scholar.google.com/citations?user=gJDwJcAAAAAJ&hl=en,1514,17,26,32,University of Texas - Arlington  ,Full,152,
"Athitsos, Vassilis",Athitsos,Vassilis,https://scholar.google.com/citations?user=RRmQyu8AAAAJ&hl=en&oi=ao,5406,34,63,154,University of Texas - Arlington  ,Associate,152,
"Che, Hao",Che,Hao,NA,NaN,NaN,NaN,38,University of Texas - Arlington  ,Associate,152,
"Csallner, Christoph",Csallner,Christoph,https://scholar.google.com/citations?user=A9t6MNAAAAAJ&hl=en,1311,14,16,22,University of Texas - Arlington  ,Associate,152,
"Fegaras, Leonidas",Fegaras,Leonidas,NA,NaN,NaN,NaN,46,University of Texas - Arlington  ,Associate,152,
"Huang, Junzhou",Huang,Junzhou,https://scholar.google.com/citations?user=X7KrguAAAAAJ&hl=en,3349,26,49,106,University of Texas - Arlington  ,Associate,152,
"Jiang, Song",Jiang,Song,https://scholar.google.com/citations?user=vhpbMX8AAAAJ&hl=en,3702,31,58,87,University of Texas - Arlington  ,Associate,152,
"Li, Chengkai",Li,Chengkai,https://scholar.google.com/citations?user=v8ZQDf8AAAAJ&hl=en,1597,17,25,33,University of Texas - Arlington  ,Associate,152,
"Liu, Yonghe",Liu,Yonghe,NA,NaN,NaN,NaN,87,University of Texas - Arlington  ,Associate,152,
"Weems, Bob",Weems,Bob,NA,NaN,NaN,NaN,1,University of Texas - Arlington  ,Associate,152,
"Ming, Jiang",Ming,Jiang,https://scholar.google.com/citations?user=EYV-KnsAAAAJ&hl=en,462,11,12,16,University of Texas - Arlington  ,Assistant,152,
"Rao, Jia",Rao,Jia,https://scholar.google.com/citations?user=cLssJjcAAAAJ&hl=en,698,14,19,24,University of Texas - Arlington  ,Assistant,152,
Scott Aaronson,Aaronson,Scott,NA,NaN,NaN,NaN,117,University of Texas - Austin  ,Full,153,
Lorenzo Alvisi,Alvisi,Lorenzo,https://scholar.google.com/citations?user=K_-KJi8AAAAJ&hl=en,8941,42,71,187,University of Texas - Austin  ,Full,153,
Chandrajit Bajaj,Bajaj,Chandrajit,https://scholar.google.com/citations?user=gyL3CZ0AAAAJ&hl=en,13864,62,212,238,University of Texas - Austin  ,Full,153,
Dana H. Ballard,Ballard,Dana,https://scholar.google.com/citations?user=67aYFTQAAAAJ&hl=en,30805,59,157,438,University of Texas - Austin  ,Full,153,
Don Batory,Batory,Don,https://scholar.google.com/citations?user=jUzA3H8AAAAJ&hl=en,13332,59,140,253,University of Texas - Austin  ,Full,153,
Alan K. Cline,Cline,Alan,NA,NaN,NaN,NaN,18,University of Texas - Austin  ,Full,153,
Inderjit Dhillon,Dhillon,Inderjit,https://scholar.google.com/citations?user=xBv5ZfkAAAAJ&hl=en,19934,61,133,431,University of Texas - Austin  ,Full,153,
Donald S. Fussell,Fussell,Donald,NA,NaN,NaN,NaN,41,University of Texas - Austin  ,Full,153,
Anna Gal,Gal,Anna,NA,NaN,NaN,NaN,28,University of Texas - Austin  ,Full,153,
Mohamed G. Gouda,Gouda,Mohamed,https://scholar.google.com/citations?user=GRGOG1AAAAAJ&hl=en,10476,47,132,221,University of Texas - Austin  ,Full,153,
Warren A. Hunt Jr.,Hunt,Warren,https://scholar.google.com/citations?user=D6fp6_cAAAAJ&hl=en,1665,23,39,36,University of Texas - Austin  ,Full,153,
Simon S. Lam,Lam,Simon,https://scholar.google.com/citations?user=0XV1sFsAAAAJ&hl=en,11249,48,123,244,University of Texas - Austin  ,Full,153,
Vladimir Lifschitz,Lifschitz,Vladimir,https://scholar.google.com/citations?user=FuOqWNEAAAAJ&hl=en,18597,55,111,355,University of Texas - Austin  ,Full,153,
Calvin Lin,Lin,Calvin,https://scholar.google.com/citations?user=VDMARucAAAAJ&hl=en,4025,35,59,118,University of Texas - Austin  ,Full,153,
Risto Miikkulainen,Miikkulainen,Risto,https://scholar.google.com/citations?user=2SmbjHAAAAAJ&hl=en,13530,53,189,281,University of Texas - Austin  ,Full,153,
Daniel P. Miranker,Miranker,Daniel,NA,NaN,NaN,NaN,52,University of Texas - Austin  ,Full,153,
Aloysius K. Mok,Mok,Aloysius,https://scholar.google.com/citations?user=M6urChQAAAAJ&hl=en,10833,44,112,233,University of Texas - Austin  ,Full,153,
Raymond J. Mooney,Mooney,Raymond,https://scholar.google.com/citations?user=p9RsPG4AAAAJ&hl=en,24137,72,196,586,University of Texas - Austin  ,Full,153,
Gordon S. Novak Jr.,Novak,Gordon,https://scholar.google.com/citations?user=eHhHOD0AAAAJ&hl=en,681,15,16,23,University of Texas - Austin  ,Full,153,
Keshav Pingali,Pingali,Keshav,https://scholar.google.com/citations?user=02UU6wgAAAAJ&hl=en,7579,47,109,154,University of Texas - Austin  ,Full,153,
C. Greg Plaxton,Plaxton,C.,NA,NaN,NaN,NaN,177,University of Texas - Austin  ,Full,153,
Bruce W. Porter,Porter,Bruce,https://scholar.google.com/citations?user=k5c56_wAAAAJ&hl=en,3579,30,55,90,University of Texas - Austin  ,Full,153,
William H. Press,Press,William,https://scholar.google.com/citations?user=yi6DR64AAAAJ&hl=en,146544,67,172,770,University of Texas - Austin  ,Full,153,
Lili Qiu,Qiu,Lili,https://scholar.google.com/citations?user=16posrQAAAAJ&hl=en,9359,42,79,236,University of Texas - Austin  ,Full,153,
Vijaya Ramachandran,Ramachandran,Vijaya,https://scholar.google.com/citations?user=grYHYo0AAAAJ&hl=en,5110,37,85,95,University of Texas - Austin  ,Full,153,
Peter Stone,Stone,Peter,https://scholar.google.com/citations?user=qnwjcfAAAAAJ&hl=en,16601,63,264,227,University of Texas - Austin  ,Full,153,
Robert A. Van de Geijn,Van de Geijn,Robert,https://scholar.google.com/citations?user=62GM5XcAAAAJ&hl=en,7354,49,111,145,University of Texas - Austin  ,Full,153,
Emmett Witchel,Witchel,Emmett,https://scholar.google.com/citations?user=k4oSgRkAAAAJ&hl=en,4759,31,47,136,University of Texas - Austin  ,Full,153,
David I. Zuckerman,Zuckerman,David,https://scholar.google.com/citations?user=MCe-I6wAAAAJ&hl=en,5446,33,50,158,University of Texas - Austin  ,Full,153,
William R. Cook,Cook,William,https://scholar.google.com/citations?user=mNuzGVcAAAAJ&hl=en,5965,32,48,218,University of Texas - Austin  ,Associate,153,
Kristen Grauman,Grauman,Kristen,https://scholar.google.com/citations?user=Jp6Mz1sAAAAJ&hl=en,40090,52,90,220,University of Texas - Austin  ,Associate,153,
Adam Klivans,Klivans,Adam,NA,NaN,NaN,NaN,47,University of Texas - Austin  ,Associate,153,
Dana Moshkovitz,Moshkovitz,Dana,https://scholar.google.com/citations?user=r6ifxUIAAAAJ&hl=en,601,11,11,12,University of Texas - Austin  ,Associate,153,
Pradeep Ravikumar,Ravikumar,Pradeep,https://scholar.google.com/citations?user=Q4DTPw4AAAAJ&hl=en,5965,26,41,135,University of Texas - Austin  ,Associate,153,
Brent Waters,Waters,Brent,https://scholar.google.com/citations?user=VEKxHOAAAAAJ&hl=en,27340,63,106,730,University of Texas - Austin  ,Associate,153,
Vijay Chidambaram,Chidambaram,Vijay,https://scholar.google.com/citations?user=KlpusxAAAAAJ&hl=en,247,7,5,1,University of Texas - Austin  ,Assistant,153,
Isil Dillig,Dillig,Isil,https://scholar.google.com/citations?user=Wlq5rZEAAAAJ&hl=en,885,15,18,36,University of Texas - Austin  ,Assistant,153,
Thomas Dillig,Dillig,Thomas,https://scholar.google.com.hk/citations?user=gpy1VEsAAAAJ&hl=en,876,15,18,36,University of Texas - Austin  ,Assistant,153,
Greg Durrett,Durrett,Greg,https://scholar.google.com/citations?user=EpQ_sDEAAAAJ&hl=en,274,9,9,4,University of Texas - Austin  ,Assistant,153,
Qixing Huang,Huang,Qixing,https://scholar.google.com/citations?user=pamL_rIAAAAJ&hl=en,1763,21,31,51,University of Texas - Austin  ,Assistant,153,
Philipp Kraehenbuehl,Kraehenbuehl,Philipp,https://scholar.google.com/citations?user=dzOd2hgAAAAJ,1685,11,13,25,University of Texas - Austin  ,Assistant,153,
Scott Niekum,Niekum,Scott,https://scholar.google.com/citations?user=4wXYfSUAAAAJ&hl=en,241,7,6,5,University of Texas - Austin  ,Assistant,153,
Simon Peter,Peter,Simon,https://scholar.google.com/citations?user=NOucxBgAAAAJ,1220,11,12,14,University of Texas - Austin  ,Assistant,153,
Eric Price,Price,Eric,https://scholar.google.com/citations?user=UE6z_m8AAAAJ&hl=en,761,13,14,16,University of Texas - Austin  ,Assistant,153,
Christopher Rossbach,Rossbach,Christopher,NA,NaN,NaN,NaN,32,University of Texas - Austin  ,Assistant,153,
Etienne Vouga,Vouga,Etienne,https://scholar.google.com/citations?user=Pm23sq4AAAAJ&hl=en,851,11,11,4,University of Texas - Austin  ,Assistant,153,
"Bastani, Farokh B.",Bastani,Farokh B.,NA,NaN,NaN,NaN,28,University of Texas - Dallas  ,Full,154,
"Chandrasekaran, R",Chandrasekaran,R,NA,NaN,NaN,NaN,NaN,University of Texas - Dallas  ,Full,154,
"Daescu, Ovidiu",Daescu,Ovidiu,NA,NaN,NaN,NaN,17,University of Texas - Dallas  ,Full,154,
"Dawande, Milind",Dawande,Milind,http://scholar.google.com/citations?user=Bri9R_4AAAAJ&hl=en,2827,26,41,80,University of Texas - Dallas  ,Full,154,
Desmedt Yvo,Desmedt,Yuv,NA,NaN,NaN,NaN,117,University of Texas - Dallas  ,Full,154,
"Du, Ding-Zhu",Du,Ding-Zhu,https://scholar.google.com/citations?user=oAaMfQsAAAAJ&hl=en&oi=ao,12080,53,190,188,University of Texas - Dallas  ,Full,154,
"Farago, Andras",Farago,Andras,NA,NaN,NaN,NaN,83,University of Texas - Dallas  ,Full,154,
"Fishwick, Paul",Fishwick,Paul,https://scholar.google.com/citations?user=-GT5PAkAAAAJ&hl=en&oi=ao,6140,38,118,112,University of Texas - Dallas  ,Full,154,
"Gupta, Gopal",Gupta,Gopal,https://scholar.google.com/citations?user=-Jbd9DsAAAAJ&hl=en&oi=ao,2883,28,80,59,University of Texas - Dallas  ,Full,154,
"Haas, Zygmunt",Haas,Zygmunt,https://scholar.google.com/citations?user=tk8qFe0AAAAJ&hl=en,27837,69,166,668,University of Texas - Dallas  ,Full,154,
"Harabagiu, Sanda",Harabagiu,Sanda,NA,NaN,NaN,NaN,164,University of Texas - Dallas  ,Full,154,
"Huynh, D.T.",Huynh,D.T.,NA,NaN,NaN,NaN,33,University of Texas - Dallas  ,Full,154,
"Jue, Jason",Jue,Jason,https://scholar.google.com/citations?user=8EDESdwAAAAJ&hl=en&oi=ao,7447,36,96,162,University of Texas - Dallas  ,Full,154,
"Kantarcioglu, Murat",Kantarcioglu,Murat,https://scholar.google.com/citations?user=qXb4xQMAAAAJ&hl=en&oi=ao,6206,37,82,134,University of Texas - Dallas  ,Full,154,
"Khan, Latifur",Khan,Latifur,https://scholar.google.com/citations?user=7nERaWEAAAAJ&hl=en&oi=ao,5163,38,107,109,University of Texas - Dallas  ,Full,154,
"Lin, Zhiqiang",Lin,Zhiqiang,https://scholar.google.com/citations?user=6Kuq1acAAAAJ&hl=en&oi=ao,1339,18,25,28,University of Texas - Dallas  ,Full,154,
"Moldovan, Dan",Moldovan,Dan,NA,NaN,NaN,NaN,204,University of Texas - Dallas  ,Full,154,
"Ntafos, Simeon",Ntafos,Simeon,NA,NaN,NaN,NaN,90,University of Texas - Dallas  ,Full,154,
"Page, Ivor P.",Page,Ivor P.,NA,NaN,NaN,NaN,0,University of Texas - Dallas  ,Full,154,
"Prabhakaran, B.",Prabhakaran,B.,https://scholar.google.com/citations?user=4yki88YAAAAJ&hl=en,2149,22,57,34,University of Texas - Dallas  ,Full,154,
"Prakash, Ravi",Prakash,Ravi,https://scholar.google.com/citations?user=MJyWxOYAAAAJ&hl=en&oi=ao,6597,31,53,193,University of Texas - Dallas  ,Full,154,
"Raghavachari, Balaji",Raghavachari,Balaji,NA,NaN,NaN,NaN,69,University of Texas - Dallas  ,Full,154,
"Sudborough, I Hal",Sudborough,Hal,NA,NaN,NaN,NaN,72,University of Texas - Dallas  ,Full,154,
"Thuraisingham, Bhavani",Thuraisingham,Bhavani,http://scholar.google.com/citations?user=o_xUNWkAAAAJ&hl=en&oi=sra,8228,45,171,155,University of Texas - Dallas  ,Full,154,
"Venkatesan, S.",Venkatesan,S.,NA,NaN,NaN,NaN,NaN,University of Texas - Dallas  ,Full,154,
"Wong, W. Eric",Wong,W. Eric,https://scholar.google.com/citations?user=d9Y04UwAAAAJ&hl=en&oi=ao,5109,36,82,122,University of Texas - Dallas  ,Full,154,
"Wu, Weili",Wu,Weili,https://scholar.google.com/citations?user=Flmif3gAAAAJ&hl=en&oi=ao,11516,40,154,158,University of Texas - Dallas  ,Full,154,
"Yen, I-Ling",Yen,I-Ling,NA,NaN,NaN,NaN,36,University of Texas - Dallas  ,Full,154,
"Zhang, Kang",Zhang,Kang,NA,NaN,NaN,NaN,NaN,University of Texas - Dallas  ,Full,154,
"Zheng, S. Q.",Zheng,S. Q.,NA,NaN,NaN,NaN,47,University of Texas - Dallas  ,Full,154,
"Bereg, Sergey",Bereg,Sergey,https://scholar.google.com/citations?user=t0j3HjcAAAAJ&hl=en&oi=ao,762,16,26,19,University of Texas - Dallas  ,Associate,154,
"Chung, Lawrence",Chung,Lawrence,https://scholar.google.com/citations?user=pFRPgsIAAAAJ&hl=en&oi=ao,7385,30,63,77,University of Texas - Dallas  ,Associate,154,
"Cobb, Jorge A.",Cobb,Jorge A.,NA,NaN,NaN,NaN,15,University of Texas - Dallas  ,Associate,154,
"Cooper, Kendra",Cooper,Kendra,NA,NaN,NaN,NaN,22,University of Texas - Dallas  ,Associate,154,
"Guo, Xiaohu",Guo,Xiaohu,https://scholar.google.com/citations?user=Y4SdsvsAAAAJ&hl=en&oi=ao,881,18,26,32,University of Texas - Dallas  ,Associate,154,
"Hamlen, Kevin",Hamlen,Kevin,NA,NaN,NaN,NaN,28,University of Texas - Dallas  ,Associate,154,
"Liu, Yang",Liu,Yang,NA,NaN,NaN,NaN,NaN,University of Texas - Dallas  ,Associate,154,
"Marcus, Andrian",Marcus,Andrian,https://scholar.google.com/citations?user=ZZiaPdYAAAAJ&hl=en&oi=ao,62334,40,76,162,University of Texas - Dallas  ,Associate,154,
"Mittal, Neeraj",Mittal,Neeraj,NA,NaN,NaN,NaN,26,University of Texas - Dallas  ,Associate,154,
"Ng, Vincent",Ng,Vincent,https://scholar.google.com/citations?user=4UyniXYAAAAJ&hl=en&oi=ao,3482,29,54,89,University of Texas - Dallas  ,Associate,154,
"Sarac, Kamil",Sarac,Kamil,NA,NaN,NaN,NaN,33,University of Texas - Dallas  ,Associate,154,
"Schweitzer, Haim",Schweitzer,Haim,NA,NaN,NaN,NaN,7,University of Texas - Dallas  ,Associate,154,
"Zalila-Wenkstern, Rym",Zalila-Wenkstern,Rym,NA,NaN,NaN,NaN,0,University of Texas - Dallas  ,Associate,154,
"Cardenas, Alvaro",Cardenas,Alvaro,https://scholar.google.com/citations?user=zbubH9oAAAAJ&hl=en&oi=ao,2350,23,33,68,University of Texas - Dallas  ,Assistant,154,
"Gogate, Vibhav",Gogate,Vibhav,https://scholar.google.com/citations?user=pm_dg3cAAAAJ&hl=en&oi=ao,954,16,21,33,University of Texas - Dallas  ,Assistant,154,
"Liu, cong",Liu,Cong,https://scholar.google.com/citations?user=vpc4bggAAAAJ&hl=en,14731,40,415,112,University of Texas - Dallas  ,Assistant,154,
"McMahan, Ryan",McMahan,Ryan,https://scholar.google.com/citations?user=inGtCcMAAAAJ&hl=en&oi=ao,748,12,14,21,University of Texas - Dallas  ,Assistant,154,
"Raichel, Benjamin",Raichel,Benjamin,https://scholar.google.com/citations?user=5rk8uWIAAAAJ&hl=en&oi=ao,100,6,3,2,University of Texas - Dallas  ,Assistant,154,
"Ruozzi, Nicholas",Ruozzi,Nicholas,https://scholar.google.com/citations?user=kzmSnEQAAAAJ&hl=en&oi=ao,101,5,3,1,University of Texas - Dallas  ,Assistant,154,
"Zhang, Lingming",Zhang,Lingming,https://scholar.google.com/citations?user=zzbWQE4AAAAJ&hl=en&oi=ao,507,13,16,23,University of Texas - Dallas  ,Assistant,154,
"Gates, Ann",Gates,Ann,NA,NaN,NaN,NaN,17,University of Texas - El Paso  ,Full,155,
"Kreinovich, Vladik",Kreinovich,Vladik,https://scholar.google.com/citations?user=iern2agAAAAJ&hl=en&oi=ao,11197,42,252,139,University of Texas - El Paso  ,Full,155,
"Novick, David",Novick,David,https://scholar.google.com/citations?user=XfQ7rDoAAAAJ&hl=en&oi=ao,1711,20,42,51,University of Texas - El Paso  ,Full,155,
"Teller, Pat",Teller,Pat,NA,NaN,NaN,NaN,0,University of Texas - El Paso  ,Full,155,
"Ward, Nigel",Ward,Nigel,https://scholar.google.com/citations?user=ncnkwCMAAAAJ&hl=en&oi=ao,8592,18,37,30,University of Texas - El Paso  ,Full,155,
"Ceberio, Martine",Ceberio,Martine,NA,NaN,NaN,NaN,16,University of Texas - El Paso  ,Associate,155,
"Cheon, Yoonsik",Cheon,Yoonsik,NA,NaN,NaN,NaN,62,University of Texas - El Paso  ,Associate,155,
"Fredenthal, Eric",Fredenthal,Eric,https://scholar.google.com/citations?user=P7TJnpQAAAAJ&hl=en&oi=ao,1090,9,9,8,University of Texas - El Paso  ,Associate,155,
"Fuentes, Olac",Fuentes,Olac,https://scholar.google.com/citations?user=NdcgT00AAAAJ&hl=en&oi=ao,1228,16,30,25,University of Texas - El Paso  ,Associate,155,
"Kiekintveld, Christopher",Kiekintveld,Christopher,https://scholar.google.com/citations?user=-0LFOnYAAAAJ&hl=en&oi=ao,2155,26,38,75,University of Texas - El Paso  ,Associate,155,
"Longpre, Luc",Longpre,Luc,NA,NaN,NaN,NaN,24,University of Texas - El Paso  ,Associate,155,
"Salamah, Salamah",Salamah,Salamah,NA,NaN,NaN,NaN,NaN,University of Texas - El Paso  ,Associate,155,
Omar Badreddin,Badreddin,Omar,http://scholar.google.com/citations?user=xAXp0WYAAAAJ&hl=en,386,11,12,11,University of Texas - El Paso  ,Assistant,155,
"Hossain, Mahmud Shahriar",Hossain,Mahmud Shahriar,https://scholar.google.com/citations?user=eJ6gGEMAAAAJ&hl=en,336,10,10,10,University of Texas - El Paso  ,Assistant,155,
"Villanueva-Rosales, Natalia",Villanueva-Rosales,Natalia,https://scholar.google.com/citations?user=DCfeFYQAAAAJ&hl=en&oi=ao,283,9,9,9,University of Texas - El Paso  ,Assistant,155,
"Boppana, Rajendra",Boppana,Rajendra,https://scholar.google.com/citations?user=bNOQrU0AAAAJ&hl=en&oi=ao,2506,22,41,63,University of Texas - San Antonio  ,Full,156,
"Chronopoulos, Anthony",Chronopoulos,Anthony,https://scholar.google.com/citations?user=vpaOim8AAAAJ&hl=en,2026,25,44,45,University of Texas - San Antonio  ,Full,156,
"Robbins, Kay",Robbins,Kay,https://scholar.google.com/citations?user=CJDsN9cAAAAJ&hl=en&oi=ao,2235,25,46,60,University of Texas - San Antonio  ,Full,156,
"Sandhu, Ravi",Sandhu,Ravi,https://scholar.google.com/citations?user=wic7YpkAAAAJ&hl=en&oi=ao,32827,71,217,744,University of Texas - San Antonio  ,Full,156,
"Tian, Qi",Tian,Qi,https://scholar.google.com/citations?user=61b6eYkAAAAJ&hl=en&oi=ao,6572,42,145,114,University of Texas - San Antonio  ,Full,156,
"White, Gregory",White,Gregory,https://scholar.google.com/citations?user=yT6jxa8AAAAJ&hl=en&oi=ao,1005,13,17,24,University of Texas - San Antonio  ,Full,156,
"Xu, Shouhuai",Xu,Shouhuai,https://scholar.google.com/citations?user=XBj4HWoAAAAJ&hl=en&oi=ao,2760,24,50,65,University of Texas - San Antonio  ,Full,156,
"Zhu, Dakai",Zhu,Dakai,https://scholar.google.com/citations?user=DHruBmIAAAAJ&hl=en&oi=ao,2203,21,36,66,University of Texas - San Antonio  ,Full,156,
"Bylander, Tom",Bylander,Tom,https://scholar.google.com/citations?user=yoT-kHsAAAAJ&hl=en&oi=ao,3160,24,37,68,University of Texas - San Antonio  ,Associate,156,
"Korkmaz, Turgay",Korkmaz,Turgay,https://scholar.google.com/citations?user=yBuIVfIAAAAJ&hl=en&oi=ao,2094,18,25,55,University of Texas - San Antonio  ,Associate,156,
"Maynard, Hugh",Maynard,Hugh,NA,NaN,NaN,NaN,0,University of Texas - San Antonio  ,Associate,156,
"Niu, Jianwei",Niu,Jianwei,https://scholar.google.com/citations?user=WURkybsAAAAJ&hl=en&oi=ao,664,13,16,16,University of Texas - San Antonio  ,Associate,156,
"Quarles, John",Quarles,John,https://scholar.google.com/citations?user=iM0tD2EAAAAJ&hl=en,201,8,7,8,University of Texas - San Antonio  ,Associate,156,
"Ruan, Jianhua",Ruan,Jianhua,https://scholar.google.com/citations?user=seB8s3wAAAAJ&hl=en&oi=ao,1927,18,27,54,University of Texas - San Antonio  ,Associate,156,
"Tosun, Ali Saman",Tosun,Ali Saman,https://scholar.google.com/citations?user=MPRuFPsAAAAJ&hl=en&oi=ao,755,13,17,22,University of Texas - San Antonio  ,Associate,156,
"Yu, Meng",Yu,Meng,NA,NaN,NaN,NaN,NaN,University of Texas - San Antonio  ,Associate,156,
"Zhang, Weining",Zhang,Weining,https://scholar.google.com/citations?user=qmc5whEAAAAJ&hl=en&oi=ao,14414,43,366,104,University of Texas - San Antonio  ,Associate,156,
"Gibson, Matthew",Gibson,Matthew,NA,NaN,NaN,NaN,NaN,University of Texas - San Antonio  ,Assistant,156,
"Gubanov, Michael",Gubanov,Michael,NA,NaN,NaN,NaN,5,University of Texas - San Antonio  ,Assistant,156,
"Lama, Palden",Lama,Palden,https://scholar.google.com/citations?user=TRXZ5jsAAAAJ&hl=en&oi=ao,375,11,11,13,University of Texas - San Antonio  ,Assistant,156,
"Liu, Tongping",Liu,Tongping,https://scholar.google.com/citations?user=cEEdp_8AAAAJ&hl=en&oi=ao,579,5,4,0,University of Texas - San Antonio  ,Assistant,156,
"Muzahid, Abdullah Al",Muzahid,Abdullah Al,https://scholar.google.com/citations?user=hN7mpGMAAAAJ&hl=en,202,6,6,0,University of Texas - San Antonio  ,Assistant,156,
"Wang, Wei",Wang,Wei,NA,NaN,NaN,NaN,NaN,University of Texas - San Antonio  ,Assistant,156,
"Wang, Xiaoyin",Wang,Xiaoyin,https://scholar.google.com/citations?user=7pcpDQ8AAAAJ&hl=en&oi=ao,916,13,13,25,University of Texas - San Antonio  ,Assistant,156,
"Diaz, JC",Diaz,JC,NA,NaN,NaN,NaN,NaN,University of Tulsa  ,Full,157,
"Gamble, R.F.",Gamble,R.F.,NA,NaN,NaN,NaN,11,University of Tulsa  ,Full,157,
"Hale, John",Hale,John,https://scholar.google.com/citations?user=gSsLWL0AAAAJ&hl=en,1431,17,22,28,University of Tulsa  ,Full,157,
"Schoenefeld, Dale",Schoenefeld,Dale,NA,NaN,NaN,NaN,24,University of Tulsa  ,Full,157,
"Sen, Sandip",Sen,Sandip,https://scholar.google.com/citations?user=UCTa4eAAAAAJ&hl=en&oi=ao,6187,38,127,124,University of Tulsa  ,Full,157,
"Shenoi, Sujeet",Shenoi,Sujeet,NA,NaN,NaN,NaN,32,University of Tulsa  ,Full,157,
"Wainwright, Roger",Wainwright,Roger,NA,NaN,NaN,NaN,81,University of Tulsa  ,Full,157,
"Mailler, Roger",Mailler,Roger,https://scholar.google.com/citations?user=No-tOxoAAAAJ&hl=en&oi=ao,1210,17,20,36,University of Tulsa  ,Associate,157,
"McKinney, Brett",McKinney,Brett,https://scholar.google.com/citations?user=3M1gxVsAAAAJ&hl=en&oi=ao,1100,19,27,40,University of Tulsa  ,Associate,157,
"Papa, Mauricio",Papa,Mauricio,NA,NaN,NaN,NaN,16,University of Tulsa  ,Associate,157,
"Girgis, Hani",Girgis,Hani,NA,NaN,NaN,NaN,0,University of Tulsa  ,Assistant,157,
"Kuttal, Sandeep",Kuttal,Sandeep,https://scholar.google.com/citations?user=RNfafUcAAAAJ&hl=en&oi=ao,54,5,1,1,University of Tulsa  ,Assistant,157,
"Moore, Tyler",Moore,Tyler,https://scholar.google.com/citations?user=JtTsVAkAAAAJ&hl=en&oi=ao,3167,30,49,81,University of Tulsa  ,Assistant,157,
Rajeev Balasubramoniam,Balasubramoniam,Rajeev,https://scholar.google.com/citations?user=9Zq_duwAAAAJ&hl=en,4821,34,58,127,University of Utah  ,Full,158,
Martin Berzins,Berzins,Martin,https://scholar.google.com/citations?user=RjxJExgAAAAJ&hl=en,3272,31,84,64,University of Utah  ,Full,158,
Richard Brown,Brown,Richard,https://scholar.google.com/citations?user=Pq-WxP8AAAAJ&hl=en,6659,33,97,79,University of Utah  ,Full,158,
Erik Brunvand,Brunvand,Erik,https://scholar.google.com/citations?user=Hkw7KOoAAAAJ&hl=en,1616,22,43,35,University of Utah  ,Full,158,
Elaine Cohen,Cohen,Elaine,NA,NaN,NaN,NaN,NaN,University of Utah  ,Full,158,
Matthew Flatt,Flatt,Matthew,https://scholar.google.com/citations?user=9sMIvdgAAAAJ&hl=en,7458,33,55,169,University of Utah  ,Full,158,
Ganesh Gopalakrishnan,Gopalakrishnan,Ganesh,https://scholar.google.com/citations?user=uvoOgnwAAAAJ&hl=en,3922,34,119,68,University of Utah  ,Full,158,
Mary Hall,Hall,Mary,https://scholar.google.com/citations?user=208pw6sAAAAJ&hl=en,5615,39,80,123,University of Utah  ,Full,158,
Chuck Hansen,Hansen,Chuck,https://scholar.google.com/citations?user=UqyaAQQAAAAJ&hl=en,8805,49,102,198,University of Utah  ,Full,158,
Tom Henderson,Henderson,Tom,https://scholar.google.com/citations?user=khCvByoAAAAJ&hl=en,2762,24,35,69,University of Utah  ,Full,158,
