"","University.Name","CS.Score","CS.rank","Web","University.Rank","University.Score","ID","Department","College","Affiliated","Comments.about.inclusion","total_citations"
"158","University of Virginia",3.4,29,"http://www.cs.virginia.edu/",24,75,159,"CS","Engineering","Outside + Within, clearly annotated","included all within primary faculty list, excluded those outside",137826
"159","University of Washington",4.5,6,"https://www.cs.washington.edu/",54,61,160,"CS","CS & Engineering","Outside","affiliated not included",514099
"160","University of Wisconsin Madison",4.2,11,"https://www.cs.wisc.edu/",44,63,161,"CS","Letters&Science","Outside","affiliated not included",311503
"161","University of Wisconsin Milwaukee",0,0,"https://uwm.edu/engineering/academics-2/departments/computer-science/",0,0,162,"CS","Engineering & Applied Science","No","",6091
"162","University of Wyoming",0,0,"http://www.uwyo.edu/cosc/",171,33,163,"CS","Engineering & Applied Science","No","",4224
"163","Utah State University",0,0,"http://www.cs.usu.edu/",220,24,164,"CS","?","No","",14167
"164","Vanderbilt University",2.8,56,"https://engineering.vanderbilt.edu/eecs/",15,85,165,"EECS","Engineering","Outside","affiliated not included; EECS department, we manually selected CS faculty",91639
"165","Virginia Commonwealth University",0,0,"https://egr.vcu.edu/departments/computer/",164,35,166,"CS","Engineering","No","",23024
"166","Virginia Tech",3.1,40,"https://www.cs.vt.edu/",74,54,167,"CS","Engineering","No","",148722
"167","Washington State University",2.4,70,"https://school.eecs.wsu.edu/",143,39,169,"EECS","Own","No","EECS department, we manually selected CS faculty",26823
"168","Washington University in St. Louis",3.1,40,"https://cse.wustl.edu/Pages/default.aspx",19,84,170,"CSE","Engineering and Applied Sci","Outside","26 'collaborating' faculty -- we did not include them",165013
"169","Wayne State University",2,112,"http://engineering.wayne.edu/cs/",0,0,171,"CS","Engineering","No","",44715
"170","West Virginia University",2,112,"http://lcsee.statler.wvu.edu/",183,31,172,"CSEE","Engineering","No","CSEE department, we manually selected CS faculty",34333
"171","Western Michigan University",0,0,"https://wmich.edu/cs",194,29,173,"CS","?","No","",21586
"172","Worcester Polytechnic Institute",2.2,90,"https://www.wpi.edu/academics/departments/computer-science",60,59,174,"CS","?","Within","affiliated included",54401
"173","Yale University",3.7,20,"http://cpsc.yale.edu/",3,97,175,"CS","No","Outside","affiliated not included",194797
